ra,turma
21077113,NB3BCK0103-15SA
21077113,NAMCZC016-15SB
21077113,NANHZ5015-09SA
11201721638,NB1BIR0004-15SA
11201721638,NS6BCJ0204-15SA
11201721638,NB1BIN0406-15SA
11201721638,NBNHI2049-13SA
11049814,NA2ESTO903-17SA
11049814,NAESTA023-17SA
11049814,NBESTA010-17SA
11201812038,DAESHP004-13SB
11201812038,DABHQ0002-15SB
11201812038,DCBIN0406-15SB
11201812038,DAESHP014-13SB
11201812038,DAESZP034-14SB
11107815,DABHO1335-15SB
11107815,DABHO1101-15SB
11107815,DABHP0202-15SB
11201721630,NB2MCTB001-17SA
11201721630,NA1BIR0603-15SA
11201721630,NAESZB021-17SB
11201721630,DAESZG040-17SB
11201921313,DB1BCL0306-15SB
11201921313,DB1BCJ0204-15SB
11201921313,DB1BCN0402-15SB
11201921313,DB1BCN0404-15SB
11201921313,DB1BCM0504-15SB
11102814,NB5BCL0308-15SA
11102814,NA2BCK0103-15SA
11102814,NB3BCN0404-15SA
21070012,DAESHT013-17SB
11042216,DANHZ6016-18SA
11042216,DANHZ6010-18SA
11042216,NANHT1056-15SA
11042216,DANHZ6007-18SA
11001816,NB1BIR0004-15SA
11001816,NA1BCM0506-15SA
11001816,NA1BCN0405-15SA
11001816,NB1BCM0504-15SA
11201723015,DANHZ6016-18SA
11201723015,DB1BIR0603-15SA
11201723015,DANHZ5021-16SA
11201723015,DBNHZ5020-15SA
11201723015,DBMCTC002-15SA
11201723015,NB1BCN0405-15SA
11201723015,DC1MCTA028-15SA
21073315,NAMCZC010-15SB
21073315,DBESHC035-17SB
21073315,NAESHT005-17SB
21073315,NCESTO903-17SB
21073315,DANHH2009-13SB
21073315,NANHH2016-13SB
21073315,NAESTA020-17SA
21073315,DAESZT014-17SB
11201920527,NB1BCL0306-15SA
11201920527,DB3NHZ3086-15SA
11201920527,NB4BCJ0204-15SA
11201920527,NB2BCN0402-15SA
11201920527,NB1BCN0404-15SA
11201920527,NB2BCM0504-15SA
21073916,NANHH2028-13SB
21073916,NANHH2034-13SB
21073916,NANHH2087-16SB
21073916,NAESHC020-17SB
21057913,NAESTA005-17SA
21057913,DBESTA010-17SA
21057913,NAESTA008-17SA
21057913,NA1ESTI013-17SA
11045315,DAESTB007-17SB
11045315,NA2ESTB018-17SB
11045315,DS4BCJ0204-15SA
11045315,NAMCTC022-15SB
11045315,NAESZB017-17SB
11005116,DFESTO903-17SB
11005116,DCESTO012-17SA
11005116,DAESTA008-17SA
11005116,DAESZS021-17SB
11005116,NA2ESTS010-17SB
11005116,NAESTS008-17SB
11201920856,NA1BCL0306-15SB
11201920856,NA1BCJ0204-15SB
11201920856,NA1BCN0402-15SB
11201920856,NA2BCN0404-15SB
11201920856,NA1BCM0504-15SB
11201810602,NA1BIR0004-15SA
11201810602,NA4BCL0308-15SA
11201810602,DAMCTB009-17SA
11201810602,NA2BCK0103-15SA
11201810602,DBESTO012-17SB
11084213,NB1ESTO013-17SA
11084213,DAESTO008-17SA
11084213,DAESZA005-17SA
11084213,NAESTA022-17SA
21070214,NAESHR022-14SB
21070214,DAESHR007-14SB
21080412,NB2MCTB001-17SA
21080412,NA2BCN0402-15SB
11201723022,DA1BIS0003-15SA
11201723022,DA3BCJ0204-15SB
11201723022,DA4BCN0404-15SA
11201723022,DCBIN0406-15SB
11201723022,DAESTB010-17SB
13201723137,NAESHC034-17SB
13201723137,NAESZC020-17SB
13201723137,NA2ESTO013-17SA
13201723137,NAESHC032-17SB
13201723137,NAESHC031-17SB
11201811299,DC2BCL0308-15SA
11201811299,DAMCTB009-17SB
11201811299,DA1BCM0506-15SA
11201811299,DB2BIQ0602-15SA
11201811299,DB2BCK0103-15SA
11012606,NAESTG005-17SB
11012606,NA2ESTO012-17SB
11201920641,NB1BIR0004-15SA
11201920641,NB6BCJ0204-15SA
11201920641,NB2BCN0402-15SA
11201920641,NB2BCM0504-15SA
21086413,NAESHC030-17SB
21086413,NA2ESHC035-17SB
21086413,NAESHC032-17SB
21086413,NABHQ0301-15SB
11201810537,NB9BCJ0204-15SA
11201810537,NB2BCN0402-15SA
11201810537,NB1BCN0404-15SA
11024613,NB1MCTB001-17SA
11024613,NA1ESTA002-17SA
11024613,NAESTE022-17SA
21087314,NB3BCK0103-15SA
21087314,DAESTM005-17SA
21087314,NBESTM003-17SA
11100411,NAESTE035-17SA
11100411,NAESTE015-17SA
11100411,NAESTE027-17SA
11100411,NA2ESTA019-17SA
11100411,NAESTU020-17SA
21025414,NAESZR002-13SB
21025414,NAESHC030-17SB
21025414,NANHH2085-16SB
21025414,NA1BIN0406-15SB
21025414,NABHO0001-15SB
11201922014,NB1BIS0003-15SB
11201922014,NS5BCJ0204-15SB
11201922014,NB1BCM0504-15SB
11111209,NAESTB007-17SB
11111209,NA1ESTA002-17SB
11111209,NA2ESTB018-17SB
11111209,NA1ESTB010-17SB
11101613,NA2ESTE019-17SA
11101613,DAESZA005-17SA
11101613,NBESTA010-17SA
11101613,NAESTA022-17SA
11201722436,NB1BIR0004-15SB
11201722436,NB1BCL0308-15SB
11201722436,NA2ESTO013-17SB
11201722436,NB1BCK0103-15SB
11010111,DANHI2049-13SA
11201920117,DB2BCL0306-15SA
11201920117,DANHZ3086-15SA
11201920117,NA2BIQ0602-15SA
11201920117,DB4BCJ0204-15SA
11201920117,DB2BCN0402-15SA
11201920117,DB2BCN0404-15SA
11201920117,NA1NHI5011-13SA
21031311,NAESZG013-17SB
21031311,NAESHR008-13SB
21031311,NAESTG025-17SB
11127809,NAMCTB009-17SA
11127809,NAESTM004-17SA
11127809,DC3ESTO903-17SA
11127809,NAESTM019-17SA
11127809,NAESTM009-17SA
21063415,NB1ESTA002-17SA
21063415,NAESTE022-17SA
11081709,NAESTS016-17SB
11085216,NANHT1068-15SA
11085216,NANHT1056-15SA
11085216,NANHT1064-15SA
11035614,NB1BCK0103-15SA
11035614,NA1BCN0402-15SB
11201812123,NB1BCL0308-15SA
11201812123,NB2BIQ0602-15SA
11201812123,NB1BCK0103-15SA
11201812123,DB1BCN0405-15SA
11201812123,DBNHI2049-13SA
11201812123,NA6MCTA028-15SA
11201722779,DAMCTB001-17SB
11201722779,DB1BIR0004-15SA
11201722779,DAMCTB009-17SB
11201722779,DA1BIQ0602-15SA
11201722779,DCESTO012-17SA
11201920575,DA1BCL0306-15SA
11201920575,DA5BCJ0204-15SA
